image,url,label,url_length,num_dots,has_ip,has_https,has_at_symbol,has_shortener,subdomain_length,is_brand_mismatch
benign_13270.png,"13270    https://www.entertainment.time.com/time_slide/...
Name: url, dtype: object",0,83,6,False,True,False,False,0,False
benign_1328.png,"1328    https://www.en.wikipedia.org/wiki/Bruce_Ramsay
Name: url, dtype: object",0,79,3,False,True,False,False,0,False
benign_1333.png,"1333    https://www.en.wikipedia.org/wiki/Bruce_Von_Hoff
Name: url, dtype: object",0,81,3,False,True,False,False,0,False
benign_13332.png,"13332    https://www.epicfuel.bandcamp.com/
Name: url, dtype: object",0,68,3,False,True,False,False,0,False
benign_13337.png,"13337    https://www.epicgames.com/news-events/
Name: url, dtype: object",0,72,2,False,True,False,False,0,False
benign_13342.png,"13342    https://www.epicsweeprecords.com/
Name: url, dtype: object",0,67,2,False,True,False,False,0,False
benign_13347.png,"13347    https://www.episodetivi.com/2011/10/watch-blue...
Name: url, dtype: object",0,83,5,False,True,False,False,0,False
benign_13352.png,"13352    https://www.epowerlinetrades.com/powerlineprog...
Name: url, dtype: object",0,83,5,False,True,False,False,0,False
benign_13357.png,"13357    https://www.eppersonfamilyof5.blogspot.com/
Name: url, dtype: object",0,77,3,False,True,False,True,0,False
benign_13362.png,"13362    https://www.eps.mcgill.ca/
Name: url, dtype: object",0,60,3,False,True,False,False,0,False
benign_13367.png,"13367    https://www.eq2.wikia.com/wiki/Bloodstone_shar...
Name: url, dtype: object",0,83,6,False,True,False,False,0,False
benign_13372.png,"13372    https://www.equalityevents.ning.com/
Name: url, dtype: object",0,70,3,False,True,False,False,0,False
benign_13377.png,"13377    https://www.equifestks.ticketleap.com/equifest...
Name: url, dtype: object",0,83,6,False,True,False,False,0,False
benign_1338.png,"1338    https://www.en.wikipedia.org/wiki/Bruno_Walter
Name: url, dtype: object",0,79,3,False,True,False,False,0,False
benign_13382.png,"13382    https://www.equiterre.info/site/ecologez/en
Name: url, dtype: object",0,77,2,False,True,False,False,0,False
benign_13386.png,"13386    https://www.ercn86.gilliankirkwood.co.uk/2011/...
Name: url, dtype: object",0,83,7,False,True,False,False,0,False
benign_13391.png,"13391    https://www.eric-gales.freedownloadmp3.net/
Name: url, dtype: object",0,77,3,False,True,False,False,0,False
benign_13396.png,"13396    https://www.eric.ed.gov/ERICWebPortal/recordDe...
Name: url, dtype: object",0,83,6,False,True,False,False,0,False
benign_13401.png,"13401    https://www.eric.uoregon.edu/trends_issues/ins...
Name: url, dtype: object",0,83,6,False,True,False,False,0,False
benign_13406.png,"13406    https://www.ericcamiel.com/
Name: url, dtype: object",0,61,2,False,True,False,False,0,False
benign_1341.png,"1341    https://www.en.wikipedia.org/wiki/Bud_Abell
Name: url, dtype: object",0,76,3,False,True,False,False,0,False
benign_13411.png,"13411    https://www.ericgales.org/
Name: url, dtype: object",0,60,2,False,True,False,False,0,False
benign_13416.png,"13416    https://www.ericjustinwhite.com/home.html
Name: url, dtype: object",0,75,3,False,True,False,False,0,False
benign_13421.png,"13421    https://www.ericnenninger.com/
Name: url, dtype: object",0,64,2,False,True,False,False,0,False
benign_13426.png,"13426    https://www.ericsdrivetotri.blogspot.com/2008/...
Name: url, dtype: object",0,83,6,False,True,False,True,0,False
